"Alert Id","Alert State","Alert Title","Alert Type","Rule Id","Rule Name","Rule Description","Tags","Severity","First Seen","Last Seen","Fixed On","Dismissed On","Dismissal Type","SLA Days","Days overdue","Alert Link","Organization","Project","Repository","Ref","Ecosystem","Location Paths","Logical Paths"
"1","active","GitHub legacy personal access token (PAT)","secret","SEC101/006","GitHubLegacyPat","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-06T18:48:16Z","2023-09-06T18:48:16Z","","",,"7","244","https://dev.azure.com/octodemo-temporary/e56bef04-322b-4fea-8758-d6fea322ecc9/_git/d58b2183-87dc-4f27-8e11-01d319b0ef0c/alerts/1","octodemo-temporary","jfhelin-GHAzDO","jfhelin-GHAzDO",,,"Infra/main.bicep:26 @ b9af4f7e",""
"3","active","Stripe live API secret key","secret","SEC101/016","StripeLiveApiKey","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-05T16:36:53Z","2023-09-05T16:36:53Z","","",,"7","244","https://dev.azure.com/octodemo-temporary/a0c65eae-359a-4a9b-84dc-23fd96d85a9e/_git/9d45a95d-dd6f-4d6a-a3b5-d7c47ad35245/alerts/3","octodemo-temporary","demo-vulnerabilities-ghas","demo-vulnerabilities-ghas",,,"README.md:6 @ a5cdfd44,README.md:5 @ a5cdfd44",""
"6","active","Stripe live API secret key","secret","SEC101/016","StripeLiveApiKey","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-05T16:36:53Z","2023-09-05T16:36:53Z","","",,"7","244","https://dev.azure.com/octodemo-temporary/a0c65eae-359a-4a9b-84dc-23fd96d85a9e/_git/9d45a95d-dd6f-4d6a-a3b5-d7c47ad35245/alerts/6","octodemo-temporary","demo-vulnerabilities-ghas","demo-vulnerabilities-ghas",,,"src/index.js:9 @ 08b04458,src/index.js:10 @ 08b04458",""
"7","active","GitHub legacy personal access token (PAT)","secret","SEC101/006","GitHubLegacyPat","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-05T16:36:54Z","2023-09-05T16:36:54Z","","",,"7","244","https://dev.azure.com/octodemo-temporary/a0c65eae-359a-4a9b-84dc-23fd96d85a9e/_git/9d45a95d-dd6f-4d6a-a3b5-d7c47ad35245/alerts/7","octodemo-temporary","demo-vulnerabilities-ghas","demo-vulnerabilities-ghas",,,"src/index.js:7 @ 08b04458,src/index.js:8 @ 08b04458,README.md:5 @ 130149a6,README.md:39 @ 3b1b997e,src/index.js:7 @ 4405fe63,src/index.js:7 @ 672470d8,src/index.js:7 @ ed6bc270,src/index.js:7 @ f8866726,src/index.js:7 @ fbf41208",""
"8","active","Stripe live API secret key","secret","SEC101/016","StripeLiveApiKey","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-05T16:36:47Z","2023-09-05T16:36:47Z","","",,"7","244","https://dev.azure.com/octodemo-temporary/a0c65eae-359a-4a9b-84dc-23fd96d85a9e/_git/9d45a95d-dd6f-4d6a-a3b5-d7c47ad35245/alerts/8","octodemo-temporary","demo-vulnerabilities-ghas","demo-vulnerabilities-ghas",,,"README.md:18 @ b9ca970b",""
"9","active","AWS (long-lived) credentials","secret","SEC101/008","AwsCredentials","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-05T16:37:12Z","2023-09-05T16:37:12Z","","",,"7","244","https://dev.azure.com/octodemo-temporary/a0c65eae-359a-4a9b-84dc-23fd96d85a9e/_git/9d45a95d-dd6f-4d6a-a3b5-d7c47ad35245/alerts/9","octodemo-temporary","demo-vulnerabilities-ghas","demo-vulnerabilities-ghas",,,"src/demo.js:4 @ 7ee9ab99,src/demo.js:4 @ cbf484a3,src/demo.js:4 @ fbf41208,src/demo.js:4 @ feaf4382",""
"10","active","Stripe live API secret key","secret","SEC101/016","StripeLiveApiKey","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-05T16:36:53Z","2023-09-05T16:36:53Z","","",,"7","244","https://dev.azure.com/octodemo-temporary/a0c65eae-359a-4a9b-84dc-23fd96d85a9e/_git/9d45a95d-dd6f-4d6a-a3b5-d7c47ad35245/alerts/10","octodemo-temporary","demo-vulnerabilities-ghas","demo-vulnerabilities-ghas",,,"README.md:5 @ a134f365",""
"11","active","Stripe live API secret key","secret","SEC101/016","StripeLiveApiKey","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-05T16:36:54Z","2023-09-05T16:36:54Z","","",,"7","244","https://dev.azure.com/octodemo-temporary/a0c65eae-359a-4a9b-84dc-23fd96d85a9e/_git/9d45a95d-dd6f-4d6a-a3b5-d7c47ad35245/alerts/11","octodemo-temporary","demo-vulnerabilities-ghas","demo-vulnerabilities-ghas",,,"src/demo.js:6 @ 7ee9ab99,src/index.js:9 @ f8866726",""
"12","active","Stripe live API secret key","secret","SEC101/016","StripeLiveApiKey","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-05T16:36:54Z","2023-09-05T16:36:54Z","","",,"7","244","https://dev.azure.com/octodemo-temporary/a0c65eae-359a-4a9b-84dc-23fd96d85a9e/_git/9d45a95d-dd6f-4d6a-a3b5-d7c47ad35245/alerts/12","octodemo-temporary","demo-vulnerabilities-ghas","demo-vulnerabilities-ghas",,,"src/index.js:9 @ 4405fe63",""
"13","active","Stripe live API secret key","secret","SEC101/016","StripeLiveApiKey","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-05T16:36:54Z","2023-09-05T16:36:54Z","","",,"7","244","https://dev.azure.com/octodemo-temporary/a0c65eae-359a-4a9b-84dc-23fd96d85a9e/_git/9d45a95d-dd6f-4d6a-a3b5-d7c47ad35245/alerts/13","octodemo-temporary","demo-vulnerabilities-ghas","demo-vulnerabilities-ghas",,,"src/index.js:9 @ 672470d8",""
