"Alert Id","Alert State","Alert Title","Alert Type","Tool","Rule Id","Rule Name","Rule Description","Tags","Severity","First Seen","Last Seen","Fixed On","Dismissed On","Dismissal Type","SLA Days","Days overdue","Alert Link","Organization","Project","Repository","Ref","Ecosystem","Location Paths","Logical Paths"
"1","active","NuGet Client Remote Code Execution Vulnerability (GHSA-6qmf-mmc7-6c2p)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-6qmf-mmc7-6c2p","GHSA-6qmf-mmc7-6c2p","'PublicApi.csproj' contains a reference to an insecure NuGet package 'nuget.common 6.3.1'.  Recommendation: Upgrade NuGet.Common from 6.3.1 to 6.3.3 to fix the vulnerability.","","high","2023-10-09T19:44:03Z","2023-10-09T19:44:03Z","","",,"30","138","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/83cc4c8d-d7e0-4772-aab8-9fdb635527f8/alerts/1","octodemo-felickz","csharp-synthetics","eShopOnWeb","refs/heads/main","NuGet","s/src/PublicApi/PublicApi.csproj @ cba9c590","microsoft.visualstudio.web.codegeneration.design 7.0.6(root),nuget.common 6.3.1"
"2","active","NuGet Client Remote Code Execution Vulnerability (GHSA-6qmf-mmc7-6c2p)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-6qmf-mmc7-6c2p","GHSA-6qmf-mmc7-6c2p","'Web.csproj' contains a reference to an insecure NuGet package 'nuget.common 6.3.1'.  Recommendation: Upgrade NuGet.Common from 6.3.1 to 6.3.3 to fix the vulnerability.","","high","2023-10-09T19:44:03Z","2023-10-09T19:44:03Z","","",,"30","138","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/83cc4c8d-d7e0-4772-aab8-9fdb635527f8/alerts/2","octodemo-felickz","csharp-synthetics","eShopOnWeb","refs/heads/main","NuGet","s/src/Web/Web.csproj @ cba9c590","microsoft.visualstudio.web.codegeneration.design 7.0.6(root),nuget.common 6.3.1"
"3","active","NuGet Client Remote Code Execution Vulnerability (GHSA-6qmf-mmc7-6c2p)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-6qmf-mmc7-6c2p","GHSA-6qmf-mmc7-6c2p","'PublicApi.csproj' contains a reference to an insecure NuGet package 'nuget.protocol 6.3.1'.  Recommendation: Upgrade NuGet.Protocol from 6.3.1 to 6.3.3 to fix the vulnerability.","","high","2023-10-09T19:44:03Z","2023-10-09T19:44:03Z","","",,"30","138","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/83cc4c8d-d7e0-4772-aab8-9fdb635527f8/alerts/3","octodemo-felickz","csharp-synthetics","eShopOnWeb","refs/heads/main","NuGet","s/src/PublicApi/PublicApi.csproj @ cba9c590","microsoft.visualstudio.web.codegeneration.design 7.0.6(root),nuget.protocol 6.3.1"
"4","active","NuGet Client Remote Code Execution Vulnerability (GHSA-6qmf-mmc7-6c2p)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-6qmf-mmc7-6c2p","GHSA-6qmf-mmc7-6c2p","'Web.csproj' contains a reference to an insecure NuGet package 'nuget.protocol 6.3.1'.  Recommendation: Upgrade NuGet.Protocol from 6.3.1 to 6.3.3 to fix the vulnerability.","","high","2023-10-09T19:44:03Z","2023-10-09T19:44:03Z","","",,"30","138","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/83cc4c8d-d7e0-4772-aab8-9fdb635527f8/alerts/4","octodemo-felickz","csharp-synthetics","eShopOnWeb","refs/heads/main","NuGet","s/src/Web/Web.csproj @ cba9c590","microsoft.visualstudio.web.codegeneration.design 7.0.6(root),nuget.protocol 6.3.1"
"5","active","Cookie parsing failure (GHSA-hxrm-9w7p-39cc)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-hxrm-9w7p-39cc","GHSA-hxrm-9w7p-39cc","'PublicApi.csproj' contains a reference to an insecure NuGet package 'microsoft.aspnetcore.http 2.1.0'.  Recommendation: Upgrade Microsoft.AspNetCore.Http from 2.1.0 to 2.1.22 to fix the vulnerability.","","high","2023-10-09T19:44:03Z","2023-10-09T19:44:03Z","","",,"30","138","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/83cc4c8d-d7e0-4772-aab8-9fdb635527f8/alerts/5","octodemo-felickz","csharp-synthetics","eShopOnWeb","refs/heads/main","NuGet","s/src/PublicApi/PublicApi.csproj @ cba9c590","ardalis.apiendpoints 4.0.1(root),microsoft.aspnetcore.http 2.1.0"
"6","active",".NET Core Remote Code Execution Vulnerability (GHSA-rxg9-xrhp-64gj)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-rxg9-xrhp-64gj","GHSA-rxg9-xrhp-64gj","'Infrastructure.csproj' contains a reference to an insecure NuGet package 'system.drawing.common 5.0.0'.  Recommendation: Upgrade System.Drawing.Common from 5.0.0 to 5.0.3 to fix the vulnerability.","","critical","2023-10-09T19:44:03Z","2023-10-09T19:44:03Z","","",,"7","161","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/83cc4c8d-d7e0-4772-aab8-9fdb635527f8/alerts/6","octodemo-felickz","csharp-synthetics","eShopOnWeb","refs/heads/main","NuGet","s/src/Infrastructure/Infrastructure.csproj @ cba9c590","microsoft.entityframeworkcore.sqlserver 7.0.5(root),system.drawing.common 5.0.0"
"7","active","Hard-coded credentials (cs/hardcoded-credentials)","code","CodeQL","cs/hardcoded-credentials","cs/hardcoded-credentials","Credentials are hard coded in the source code of the application.","security,external/cwe/cwe-259,external/cwe/cwe-321,external/cwe/cwe-798","critical","2023-10-09T20:10:52Z","2023-10-09T20:10:52Z","","",,"7","161","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/83cc4c8d-d7e0-4772-aab8-9fdb635527f8/alerts/7","octodemo-felickz","csharp-synthetics","eShopOnWeb","refs/heads/main",,"src/Infrastructure/Identity/AppIdentityDbContextSeed.cs:23 @ cba9c590",""
"8","active","Hard-coded credentials (cs/hardcoded-credentials)","code","CodeQL","cs/hardcoded-credentials","cs/hardcoded-credentials","Credentials are hard coded in the source code of the application.","security,external/cwe/cwe-259,external/cwe/cwe-321,external/cwe/cwe-798","critical","2023-10-09T20:10:52Z","2023-10-09T20:10:52Z","","",,"7","161","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/83cc4c8d-d7e0-4772-aab8-9fdb635527f8/alerts/8","octodemo-felickz","csharp-synthetics","eShopOnWeb","refs/heads/main",,"src/Infrastructure/Identity/AppIdentityDbContextSeed.cs:20 @ cba9c590",""
"9","active","Hard-coded credentials (cs/hardcoded-credentials)","code","CodeQL","cs/hardcoded-credentials","cs/hardcoded-credentials","Credentials are hard coded in the source code of the application.","security,external/cwe/cwe-259,external/cwe/cwe-321,external/cwe/cwe-798","critical","2023-10-09T20:10:52Z","2023-10-09T20:10:52Z","","",,"7","161","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/83cc4c8d-d7e0-4772-aab8-9fdb635527f8/alerts/9","octodemo-felickz","csharp-synthetics","eShopOnWeb","refs/heads/main",,"src/ApplicationCore/Constants/AuthorizationConstants.cs:8 @ cba9c590",""
"10","active","Stripe live API secret key","secret","Advanced Security Secrets Scanning","SEC101/016","StripeLiveApiKey","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-10-09T19:39:08Z","2023-10-09T19:39:08Z","","",,"7","161","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/83cc4c8d-d7e0-4772-aab8-9fdb635527f8/alerts/10","octodemo-felickz","csharp-synthetics","eShopOnWeb",,,".ado/config/secrets.yml:1 @ cba9c590",""
