"Alert Id","Alert State","Alert Title","Alert Type","Rule Id","Rule Name","Rule Description","Tags","Severity","First Seen","Last Seen","Fixed On","Dismissed On","Dismissal Type","SLA Days","Days overdue","Alert Link","Organization","Project","Repository","Location Paths","Logical Paths"
"279","active","Missing rate limiting (js/missing-rate-limiting)","code","js/missing-rate-limiting","js/missing-rate-limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","security,external/cwe/cwe-770,external/cwe/cwe-307,external/cwe/cwe-400","high","2023-05-08T16:09:09Z","2023-05-08T16:09:09Z","","",,"30","91","https://dev.azure.com/octodemo/7d8e8d83-f0b1-48d5-b145-2cd3e000b558/_git/12ceb58b-a05f-4f29-b221-5893f3959f31/alerts/279","octodemo","octodemo-felickz-ghazdo-repo10","octodemo-felickz-ghazdo-repo10-nodejs","index.js:35 @ 394d9bf4",""
"280","active","Database query built from user-controlled sources (js/sql-injection)","code","js/sql-injection","js/sql-injection","Building a database query from user-controlled sources is vulnerable to insertion of malicious code by the user.","security,external/cwe/cwe-089,external/cwe/cwe-090,external/cwe/cwe-943","high","2023-05-08T16:09:09Z","2023-05-08T16:09:09Z","","",,"30","91","https://dev.azure.com/octodemo/7d8e8d83-f0b1-48d5-b145-2cd3e000b558/_git/12ceb58b-a05f-4f29-b221-5893f3959f31/alerts/280","octodemo","octodemo-felickz-ghazdo-repo10","octodemo-felickz-ghazdo-repo10-nodejs","index.js:43 @ 394d9bf4",""
"289","active","Azure DevOps personal access token (PAT)","secret","SEC101/102","AdoPat","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-05-10T17:50:48Z","2023-05-10T17:50:48Z","","",,"7","112","https://dev.azure.com/octodemo/7d8e8d83-f0b1-48d5-b145-2cd3e000b558/_git/12ceb58b-a05f-4f29-b221-5893f3959f31/alerts/289","octodemo","octodemo-felickz-ghazdo-repo10","octodemo-felickz-ghazdo-repo10-nodejs",".env:10 @ 0a79f192,.env:11 @ 0a79f192",""
"290","active","Azure DevOps personal access token (PAT)","secret","SEC101/102","AdoPat","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-05-10T17:50:48Z","2023-05-10T17:50:48Z","","",,"7","112","https://dev.azure.com/octodemo/7d8e8d83-f0b1-48d5-b145-2cd3e000b558/_git/12ceb58b-a05f-4f29-b221-5893f3959f31/alerts/290","octodemo","octodemo-felickz-ghazdo-repo10","octodemo-felickz-ghazdo-repo10-nodejs",".env:12 @ 0a79f192",""
"291","active","Microsoft Azure Storage account access key identifiable","secret","SEC101/152","AzureStorageAccountIdentifiableKey","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-05-10T17:50:48Z","2023-05-10T17:50:48Z","","",,"7","112","https://dev.azure.com/octodemo/7d8e8d83-f0b1-48d5-b145-2cd3e000b558/_git/12ceb58b-a05f-4f29-b221-5893f3959f31/alerts/291","octodemo","octodemo-felickz-ghazdo-repo10","octodemo-felickz-ghazdo-repo10-nodejs",".env:23 @ 0a79f192,.env:26 @ 0a79f192",""
"5696","active","GitHub legacy personal access token (PAT)","secret","SEC101/006","GitHubLegacyPat","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-08-30T14:03:49Z","2023-08-30T14:03:49Z","","",,"7","0","https://dev.azure.com/octodemo/24f6bd34-5ce8-4c16-88a8-ba33dca99000/_git/62d57693-d3f5-44ba-8ace-62b31acda2f5/alerts/5696","octodemo","octodemo-felickz-java","octodemo-felickz-java-java","src/it/java/org/owasp/webgoat/CSRFIntegrationTest.java:30 @ d7eedad8",""
"5697","active","Azure DevOps personal access token (PAT)","secret","SEC101/102","AdoPat","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-08-30T14:03:49Z","2023-08-30T14:03:49Z","","",,"7","0","https://dev.azure.com/octodemo/24f6bd34-5ce8-4c16-88a8-ba33dca99000/_git/62d57693-d3f5-44ba-8ace-62b31acda2f5/alerts/5697","octodemo","octodemo-felickz-java","octodemo-felickz-java-java","src/it/java/org/owasp/webgoat/CSRFIntegrationTest.java:56 @ db0f864a",""
"5698","active","XStream can cause a Denial of Service. (GHSA-2p3x-qw9c-25hh)","dependency","DEP1001_GHSA-2p3x-qw9c-25hh","GHSA-2p3x-qw9c-25hh","'pom.xml' contains a reference to an insecure Maven package 'com.thoughtworks.xstream:xstream 1.4.5'.  Recommendation: Upgrade com.thoughtworks.xstream:xstream from 1.4.5 to 1.4.16 to fix the vulnerability.","","high","2023-08-30T14:08:57Z","2023-08-30T14:08:57Z","","",,"30","0","https://dev.azure.com/octodemo/24f6bd34-5ce8-4c16-88a8-ba33dca99000/_git/62d57693-d3f5-44ba-8ace-62b31acda2f5/alerts/5698","octodemo","octodemo-felickz-java","octodemo-felickz-java-java","s/pom.xml @ 7b51f303","Maven com.thoughtworks.xstream:xstream 1.4.5"
"5699","active","XStream is vulnerable to an Arbitrary Code Execution attack (GHSA-2q8x-2p7f-574v)","dependency","DEP1001_GHSA-2q8x-2p7f-574v","GHSA-2q8x-2p7f-574v","'pom.xml' contains a reference to an insecure Maven package 'com.thoughtworks.xstream:xstream 1.4.5'.  Recommendation: Upgrade com.thoughtworks.xstream:xstream from 1.4.5 to 1.4.18 to fix the vulnerability.","","high","2023-08-30T14:08:57Z","2023-08-30T14:08:57Z","","",,"30","0","https://dev.azure.com/octodemo/24f6bd34-5ce8-4c16-88a8-ba33dca99000/_git/62d57693-d3f5-44ba-8ace-62b31acda2f5/alerts/5699","octodemo","octodemo-felickz-java","octodemo-felickz-java-java","s/pom.xml @ 7b51f303","Maven com.thoughtworks.xstream:xstream 1.4.5"
"5700","active","XStream is vulnerable to an Arbitrary Code Execution attack (GHSA-3ccq-5vw3-2p6x)","dependency","DEP1001_GHSA-3ccq-5vw3-2p6x","GHSA-3ccq-5vw3-2p6x","'pom.xml' contains a reference to an insecure Maven package 'com.thoughtworks.xstream:xstream 1.4.5'.  Recommendation: Upgrade com.thoughtworks.xstream:xstream from 1.4.5 to 1.4.18 to fix the vulnerability.","","high","2023-08-30T14:08:57Z","2023-08-30T14:08:57Z","","",,"30","0","https://dev.azure.com/octodemo/24f6bd34-5ce8-4c16-88a8-ba33dca99000/_git/62d57693-d3f5-44ba-8ace-62b31acda2f5/alerts/5700","octodemo","octodemo-felickz-java","octodemo-felickz-java-java","s/pom.xml @ 7b51f303","Maven com.thoughtworks.xstream:xstream 1.4.5"
